,SentNumber,Quantifier,Matrix,WhichCategory,Subject,Predicate,SentType,Verb,Embedded,Token,MatchingCategory,MismatchingCategory,Group
62,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,crows,birds,reptiles,N
63,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,apples,fruit,insects,N
64,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,owls,birds,reptiles,O
65,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,peaches,fruit,insects,O
66,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,sparrows,birds,reptiles,P
67,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,pears,fruit,insects,P
68,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,doves,birds,reptiles,Q
69,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,plums,fruit,insects,Q
70,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,alligators,reptiles,mamals,R
71,2,some,Zoologists knows that,Matching,Token,Category,T1,know,1,cats,mammals,fruit,R
72,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,chameleons,reptiles,mamals,A
73,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,dogs,mammals,fruit,A
74,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,iguanas,reptiles,mamals,B
75,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,pigs,mammals,fruit,B
76,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,lizards,reptiles,mamals,C
77,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,elephants,mammals,fruit,C
78,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,geckos,reptiles,mamals,D
79,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,sheep,mammals,fruit,D
80,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,anchovies,fishes,birds,E
81,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,wasps,insects,fishes,E
82,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,carp,fishes,birds,F
83,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,cockroaches,insects,fishes,F
84,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,cod,fishes,birds,G
85,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,cicadas,insects,fishes,G
86,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,piranhas,fishes,birds,H
87,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,ants,insects,fishes,H
88,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,mackerels,fishes,birds,I
89,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,flies,insects,fishes,I
90,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,herring,fishes,birds,J
91,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,mosquitos,insects,fishes,J
92,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,eagles,birds,reptiles,K
93,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,strawberries,fruit,insects,K
94,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,canaries,birds,reptiles,L
95,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,bananas,fruit,insects,L
96,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,crows,birds,reptiles,M
97,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,apples,fruit,insects,M
98,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,owls,birds,reptiles,N
99,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,peaches,fruit,insects,N
100,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,sparrows,birds,reptiles,O
101,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,pears,fruit,insects,O
102,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,doves,birds,reptiles,P
103,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,plums,fruit,insects,P
104,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,alligators,reptiles,mamals,Q
105,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,cats,mammals,fruit,Q
106,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,crocodiles,reptiles,mamals,R
107,3,some,Zoologists says that,Matching,Token,Category,T1,say,1,horses,mammals,fruit,R
108,4,some,,Mismatching,Token,Category,T3,none,0,iguanas,reptiles,mamals,A
109,4,some,,Mismatching,Token,Category,T3,none,0,pigs,mammals,fruit,A
110,4,some,,Mismatching,Token,Category,T3,none,0,lizards,reptiles,mamals,B
111,4,some,,Mismatching,Token,Category,T3,none,0,elephants,mammals,fruit,B
112,4,some,,Mismatching,Token,Category,T3,none,0,geckos,reptiles,mamals,C
113,4,some,,Mismatching,Token,Category,T3,none,0,sheep,mammals,fruit,C
114,4,some,,Mismatching,Token,Category,T3,none,0,anchovies,fishes,birds,D
115,4,some,,Mismatching,Token,Category,T3,none,0,wasps,insects,fishes,D
116,4,some,,Mismatching,Token,Category,T3,none,0,carp,fishes,birds,E
117,4,some,,Mismatching,Token,Category,T3,none,0,cockroaches,insects,fishes,E
118,4,some,,Mismatching,Token,Category,T3,none,0,cod,fishes,birds,F
119,4,some,,Mismatching,Token,Category,T3,none,0,cicadas,insects,fishes,F
120,4,some,,Mismatching,Token,Category,T3,none,0,piranhas,fishes,birds,G
121,4,some,,Mismatching,Token,Category,T3,none,0,ants,insects,fishes,G
122,4,some,,Mismatching,Token,Category,T3,none,0,mackerels,fishes,birds,H
123,4,some,,Mismatching,Token,Category,T3,none,0,flies,insects,fishes,H
124,4,some,,Mismatching,Token,Category,T3,none,0,herring,fishes,birds,I
125,4,some,,Mismatching,Token,Category,T3,none,0,mosquitos,insects,fishes,I
126,4,some,,Mismatching,Token,Category,T3,none,0,eagles,birds,reptiles,J
127,4,some,,Mismatching,Token,Category,T3,none,0,strawberries,fruit,insects,J
128,4,some,,Mismatching,Token,Category,T3,none,0,canaries,birds,reptiles,K
129,4,some,,Mismatching,Token,Category,T3,none,0,bananas,fruit,insects,K
130,4,some,,Mismatching,Token,Category,T3,none,0,crows,birds,reptiles,L
131,4,some,,Mismatching,Token,Category,T3,none,0,apples,fruit,insects,L
132,4,some,,Mismatching,Token,Category,T3,none,0,owls,birds,reptiles,M
133,4,some,,Mismatching,Token,Category,T3,none,0,peaches,fruit,insects,M
134,4,some,,Mismatching,Token,Category,T3,none,0,sparrows,birds,reptiles,N
135,4,some,,Mismatching,Token,Category,T3,none,0,pears,fruit,insects,N
136,4,some,,Mismatching,Token,Category,T3,none,0,doves,birds,reptiles,O
137,4,some,,Mismatching,Token,Category,T3,none,0,plums,fruit,insects,O
138,4,some,,Mismatching,Token,Category,T3,none,0,alligators,reptiles,mamals,P
139,4,some,,Mismatching,Token,Category,T3,none,0,cats,mammals,fruit,P
140,4,some,,Mismatching,Token,Category,T3,none,0,crocodiles,reptiles,mamals,Q
141,4,some,,Mismatching,Token,Category,T3,none,0,horses,mammals,fruit,Q
142,4,some,,Mismatching,Token,Category,T3,none,0,chameleons,reptiles,mamals,R
143,4,some,,Mismatching,Token,Category,T3,none,0,dogs,mammals,fruit,R
144,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,lizards,reptiles,mamals,A
145,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,elephants,mammals,fruit,A
146,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,geckos,reptiles,mamals,B
147,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,sheep,mammals,fruit,B
148,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,anchovies,fishes,birds,C
149,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,wasps,insects,fishes,C
150,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,carp,fishes,birds,D
151,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,cockroaches,insects,fishes,D
152,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,cod,fishes,birds,E
153,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,cicadas,insects,fishes,E
154,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,piranhas,fishes,birds,F
155,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,ants,insects,fishes,F
156,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,mackerels,fishes,birds,G
157,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,flies,insects,fishes,G
158,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,herring,fishes,birds,H
159,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,mosquitos,insects,fishes,H
160,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,eagles,birds,reptiles,I
161,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,strawberries,fruit,insects,I
162,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,canaries,birds,reptiles,J
163,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,bananas,fruit,insects,J
164,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,crows,birds,reptiles,K
165,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,apples,fruit,insects,K
166,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,owls,birds,reptiles,L
167,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,peaches,fruit,insects,L
168,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,sparrows,birds,reptiles,M
169,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,pears,fruit,insects,M
170,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,doves,birds,reptiles,N
171,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,plums,fruit,insects,N
172,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,alligators,reptiles,mamals,O
173,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,cats,mammals,fruit,O
174,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,crocodiles,reptiles,mamals,P
175,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,horses,mammals,fruit,P
176,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,chameleons,reptiles,mamals,Q
177,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,dogs,mammals,fruit,Q
178,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,iguanas,reptiles,mamals,R
179,5,some,Zoologists knows that,Mismatching,Token,Category,T3,know,1,pigs,mammals,fruit,R
180,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,geckos,reptiles,mamals,A
181,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,sheep,mammals,fruit,A
182,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,anchovies,fishes,birds,B
183,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,wasps,insects,fishes,B
184,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,carp,fishes,birds,C
185,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,cockroaches,insects,fishes,C
186,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,cod,fishes,birds,D
187,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,cicadas,insects,fishes,D
188,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,piranhas,fishes,birds,E
189,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,ants,insects,fishes,E
190,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,mackerels,fishes,birds,F
191,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,flies,insects,fishes,F
192,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,herring,fishes,birds,G
193,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,mosquitos,insects,fishes,G
194,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,eagles,birds,reptiles,H
195,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,strawberries,fruit,insects,H
196,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,canaries,birds,reptiles,I
197,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,bananas,fruit,insects,I
198,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,crows,birds,reptiles,J
199,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,apples,fruit,insects,J
200,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,owls,birds,reptiles,K
201,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,peaches,fruit,insects,K
202,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,sparrows,birds,reptiles,L
203,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,pears,fruit,insects,L
204,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,doves,birds,reptiles,M
205,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,plums,fruit,insects,M
206,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,alligators,reptiles,mamals,N
207,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,cats,mammals,fruit,N
208,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,crocodiles,reptiles,mamals,O
209,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,horses,mammals,fruit,O
210,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,chameleons,reptiles,mamals,P
211,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,dogs,mammals,fruit,P
212,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,iguanas,reptiles,mamals,Q
213,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,pigs,mammals,fruit,Q
214,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,lizards,reptiles,mamals,R
215,6,some,Zoologists says that,Mismatching,Token,Category,T3,say,1,elephants,mammals,fruit,R
216,7,some,,Matching,Category,Token,T2,none,0,anchovies,fishes,birds,A
217,7,some,,Matching,Category,Token,T2,none,0,wasps,insects,fishes,A
218,7,some,,Matching,Category,Token,T2,none,0,carp,fishes,birds,B
219,7,some,,Matching,Category,Token,T2,none,0,cockroaches,insects,fishes,B
220,7,some,,Matching,Category,Token,T2,none,0,cod,fishes,birds,C
221,7,some,,Matching,Category,Token,T2,none,0,cicadas,insects,fishes,C
222,7,some,,Matching,Category,Token,T2,none,0,piranhas,fishes,birds,D
223,7,some,,Matching,Category,Token,T2,none,0,ants,insects,fishes,D
224,7,some,,Matching,Category,Token,T2,none,0,mackerels,fishes,birds,E
225,7,some,,Matching,Category,Token,T2,none,0,flies,insects,fishes,E
226,7,some,,Matching,Category,Token,T2,none,0,herring,fishes,birds,F
227,7,some,,Matching,Category,Token,T2,none,0,mosquitos,insects,fishes,F
228,7,some,,Matching,Category,Token,T2,none,0,eagles,birds,reptiles,G
229,7,some,,Matching,Category,Token,T2,none,0,strawberries,fruit,insects,G
230,7,some,,Matching,Category,Token,T2,none,0,canaries,birds,reptiles,H
231,7,some,,Matching,Category,Token,T2,none,0,bananas,fruit,insects,H
232,7,some,,Matching,Category,Token,T2,none,0,crows,birds,reptiles,I
233,7,some,,Matching,Category,Token,T2,none,0,apples,fruit,insects,I
234,7,some,,Matching,Category,Token,T2,none,0,owls,birds,reptiles,J
235,7,some,,Matching,Category,Token,T2,none,0,peaches,fruit,insects,J
236,7,some,,Matching,Category,Token,T2,none,0,sparrows,birds,reptiles,K
237,7,some,,Matching,Category,Token,T2,none,0,pears,fruit,insects,K
238,7,some,,Matching,Category,Token,T2,none,0,doves,birds,reptiles,L
239,7,some,,Matching,Category,Token,T2,none,0,plums,fruit,insects,L
240,7,some,,Matching,Category,Token,T2,none,0,alligators,reptiles,mamals,M
241,7,some,,Matching,Category,Token,T2,none,0,cats,mammals,fruit,M
242,7,some,,Matching,Category,Token,T2,none,0,crocodiles,reptiles,mamals,N
243,7,some,,Matching,Category,Token,T2,none,0,horses,mammals,fruit,N
244,7,some,,Matching,Category,Token,T2,none,0,chameleons,reptiles,mamals,O
245,7,some,,Matching,Category,Token,T2,none,0,dogs,mammals,fruit,O
246,7,some,,Matching,Category,Token,T2,none,0,iguanas,reptiles,mamals,P
247,7,some,,Matching,Category,Token,T2,none,0,pigs,mammals,fruit,P
248,7,some,,Matching,Category,Token,T2,none,0,lizards,reptiles,mamals,Q
249,7,some,,Matching,Category,Token,T2,none,0,elephants,mammals,fruit,Q
250,7,some,,Matching,Category,Token,T2,none,0,geckos,reptiles,mamals,R
251,7,some,,Matching,Category,Token,T2,none,0,sheep,mammals,fruit,R
252,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,carp,fishes,birds,A
253,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,cockroaches,insects,fishes,A
254,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,cod,fishes,birds,B
255,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,cicadas,insects,fishes,B
256,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,piranhas,fishes,birds,C
257,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,ants,insects,fishes,C
258,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,mackerels,fishes,birds,D
259,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,flies,insects,fishes,D
260,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,herring,fishes,birds,E
261,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,mosquitos,insects,fishes,E
262,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,eagles,birds,reptiles,F
263,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,strawberries,fruit,insects,F
264,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,canaries,birds,reptiles,G
265,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,bananas,fruit,insects,G
266,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,crows,birds,reptiles,H
267,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,apples,fruit,insects,H
268,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,owls,birds,reptiles,I
269,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,peaches,fruit,insects,I
270,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,sparrows,birds,reptiles,J
271,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,pears,fruit,insects,J
272,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,doves,birds,reptiles,K
273,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,plums,fruit,insects,K
274,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,alligators,reptiles,mamals,L
275,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,cats,mammals,fruit,L
276,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,crocodiles,reptiles,mamals,M
277,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,horses,mammals,fruit,M
278,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,chameleons,reptiles,mamals,N
279,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,dogs,mammals,fruit,N
280,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,iguanas,reptiles,mamals,O
281,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,pigs,mammals,fruit,O
282,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,lizards,reptiles,mamals,P
283,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,elephants,mammals,fruit,P
284,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,geckos,reptiles,mamals,Q
285,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,sheep,mammals,fruit,Q
286,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,anchovies,fishes,birds,R
287,8,some,Zoologists knows that,Matching,Category,Token,T2,know,1,wasps,insects,fishes,R
288,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,cod,fishes,birds,A
289,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,cicadas,insects,fishes,A
290,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,piranhas,fishes,birds,B
291,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,ants,insects,fishes,B
292,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,mackerels,fishes,birds,C
293,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,flies,insects,fishes,C
294,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,herring,fishes,birds,D
295,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,mosquitos,insects,fishes,D
296,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,eagles,birds,reptiles,E
297,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,strawberries,fruit,insects,E
298,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,canaries,birds,reptiles,F
299,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,bananas,fruit,insects,F
300,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,crows,birds,reptiles,G
301,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,apples,fruit,insects,G
302,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,owls,birds,reptiles,H
303,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,peaches,fruit,insects,H
304,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,sparrows,birds,reptiles,I
305,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,pears,fruit,insects,I
306,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,doves,birds,reptiles,J
307,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,plums,fruit,insects,J
308,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,alligators,reptiles,mamals,K
309,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,cats,mammals,fruit,K
310,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,crocodiles,reptiles,mamals,L
311,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,horses,mammals,fruit,L
312,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,chameleons,reptiles,mamals,M
313,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,dogs,mammals,fruit,M
314,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,iguanas,reptiles,mamals,N
315,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,pigs,mammals,fruit,N
316,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,lizards,reptiles,mamals,O
317,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,elephants,mammals,fruit,O
318,9,some,Zoologists says that,Matching,Category,Token,T2,say,1,geckos,reptiles,mamals,P
